id,action,target,details,operator,timestamp
log-001,创建客户,应用材料（中国）有限公司,新增客户信息,管理员,2024-01-15 09:00:00
log-002,更新客户,飞雅贸易（上海）有限公司,修改产业链层级为下游,管理员,2024-01-16 14:30:00
log-003,创建规则,应用材料-FWD-8635,新增账单拆分规则,管理员,2024-01-15 10:00:00
log-004,启用规则,应用材料-FWD-8639&8641,启用规则,管理员,2024-01-16 11:00:00
log-005,创建商机,应用材料设备采购框架,新增商机,张三,2024-01-15 09:30:00
log-006,更新商机,飞雅贸易CMP设备采购,阶段变更为商务谈判,李四,2024-01-17 10:00:00
log-007,创建跟进,应用材料会面,新增跟进记录,张三,2024-01-20 14:30:00
log-008,创建合同,应用材料采购框架合同,新增合同草稿,张三,2024-01-20 15:00:00
log-009,创建风控,昇先创运营风险,新增风控记录,王五,2024-01-20 16:00:00
log-010,解决风控,应用材料信用风险,标记为已解决,张三,2024-01-12 10:00:00
